date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-03,EVO_Conv_TPB DOP_Mortgage,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Mortgage,Video_0103,2,104,3116,EVO_Conv_TPB DOP_Esign
2023-06-04,Conv_Esign_Mas,Image_0103,816,50679,1920171,Conv_Esign
2023-06-04,Conv_Esign_Mas,Image_0104,715,55000,1899274,Conv_Esign
2023-06-04,Conv_Esign_Mas,Image_0204,3,856,14216,Conv_Esign
2023-06-04,Conv_Esign_Mas,Video_0103,34,1638,79557,Conv_Esign
2023-06-04,Conv_Esign_Retargeting,Image_0103,22,364,25740,Conv_Esign
2023-06-04,Conv_Esign_Retargeting,Image_0104,38,1082,62705,Conv_Esign
2023-06-04,Conv_Esign_Retargeting,Video_0103,0,0,0,Conv_Esign
2023-06-04,EVO_Conv_TPB DOP_Bank,Image_0103,489,18686,1132273,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Bank,Image_0104,383,23636,1104956,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Bank,Image_0204,7,2106,23612,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Bank,Video_0103,51,1841,105608,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,2,297,5058,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,3,357,6181,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,0,40,771,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,1,99,1812,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Ecommerce,Image_0103,143,7632,308855,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Ecommerce,Image_0104,80,4786,179519,EVO_Conv_TPB DOP_Esign
